PZ-Name1,PZ-Name2,Strasse,PLZ,Ort,PZ-Tel
Porsche Zentrum Mainz,Löhr Sportfahrzeuge Vertriebs-GmbH Mainz,Hechtsheimer Straße 25,55131,Mainz,06131/2399-900
Porsche Zentrum Saarland,Scherer Sportwagen GmbH & Co. KG,Im Rotfeld 19,66115,Saarbrücken,0681/98816-0
Porsche Zentrum Bad Homburg/Oberursel,Hochtaunus Sportwagen GmbH,Porsche Platz 1,61440,Oberursel,06171/880-0
Porsche Zentrum Giessen,Sportwagen Scheller GmbH & Co. KG,Lahnwegsberg 2,35435,Wettenberg,0641/98222-0
Porsche Zentrum Hofheim,Groh Sportwagen GmbH,Am Stegskreuz 2-4,65719,Hofheim/Taunus,06192/30911-0
Porsche Zentrum Freiburg,Graf Hardenberg Sportwagen GmbH,Basler Straße 94,79115,Freiburg,0761/4902-911
Porsche Zentrum Göppingen,Hahn Sportwagen Göppingen GmbH,Holzheimer Straße 1,73037,Göppingen,07161/97828-90
Porsche Zentrum Reutlingen,Hahn Sportwagen Reutlingen GmbH,Ernst-Abbe-Straße 29,72770,Reutlingen,07121/3015-0
Porsche Zentrum Karlsruhe,Autohaus-Gramling Sportwagen GmbH,Schenkenburgstraße 1,76135,Karlsruhe,0721/1201-911
Porsche Zentrum Landau,Graf Hardenberg Sportwagen GmbH,Hermann-Staudinger-Straße 1,76829,Landau in der Pfalz,06341/68140-911
Porsche Zentrum Hegau-Bodensee,Graf Hardenberg Sportwagen GmbH,Untere Giesswiesen 11,78247,Hilzingen,07731/8228-911
Porsche Zentrum Pforzheim,Hahn Sportwagen Pforzheim GmbH,Kieselbronner Straße 37,75177,Pforzheim,07231/9100-0
Porsche Zentrum Böblingen,Hahn Sportwagen Böblingen GmbH,Konrad-Zuse-Straße 2,71034,Böblingen,07031/45911-0
Porsche Zentrum Lörrach,Graf Hardenberg Sportwagen GmbH,Eisenbahnstraße 13,79541,Lörrach,07621/986888-911
Porsche Zentrum Schwäbisch Gmünd,Hahn Sportwagen Schwäbisch Gmünd GmbH,Ferdinand-Porsche-Weg 1,73529,Schwäbisch Gmünd,07171/779919-11
Porsche Zentrum Heilbronn,PZ Sportwagen Vertriebs-GmbH,Stuttgarter Straße 111,74074,Heilbronn,07131/5034-200
Porsche Zentrum Schwarzwald-Baar,PZ Sportwagen Vertriebs GmbH,Goldenbühlstraße 9,78048,Villingen-Schwenningen,07721/9292-0
Porsche Zentrum Stuttgart,Porsche Niederlassung Stuttgart GmbH,Porscheplatz 9,70435,Stuttgart-Zuffenhausen,0711/911-26220
Porsche Zentrum Stuttgart-Flughafen,Porsche Niederlassung Stuttgart GmbH,Karl-Benz-Straße 15,70794,Filderstadt-Bernhausen,0711/707080-0
Porsche Zentrum Offenburg,Graf Hardenberg Sportwagen GmbH,Otto-Hahn-Straße 3,77652,Offenburg,0781/9202-161
Porsche Zentrum Baden-Baden,Gerstenmaier Sportwagen Baden-Baden GmbH,Landstraße 75,76547,Sinzheim,07221/9849-31
Porsche Zentrum Ulm/Neu-Ulm,Sportwagen GmbH Donautal,Steinbeisstraße 26,89079,Ulm,0731/94694-0
Porsche Zentrum Oberschwaben,P.Z. Oberschwaben Sportwagen Handelsgesellschaft mbH,Hähnlehofstraße 1,88250,Weingarten,0751/56044-911
Porsche Zentrum Bamberg,Auto-Scholz Sportwagen GmbH Bamberg,Kärntenstraße 12,96052,Bamberg,0951/3020-0
Porsche Zentrum München,SZM Sportwagen Zentrum München GmbH,Schleibingerstraße 8,81669,München,089/48001-911
Porsche Zentrum Nürnberg-Fürth-Erlangen,Auto-Scholz Sportwagen GmbH Nürnberg,Erlanger Straße 150,90425,Nürnberg,0911/95169-0
Porsche Zentrum Augsburg,Sportwagenzentrum Seitz + Kummer GmbH,Porschestraße 5,86368,Gersthofen,0821/45544-900
Porsche Zentrum Garmisch-Partenkirchen,Heitz Sportwagen GmbH,An der Zugspitze 6,82491,Grainau,08821/9319-90
Porsche Zentrum Allgäu,Seitz Sportwagenzentrum GmbH,Georg-Krug-Straße 10,87437,Kempten,0831/59123-900
Porsche Zentrum Regensburg,Jepsen Sportwagen GmbH,Merowinger Straße 2,93053,Regensburg,0941/70579-0
Porsche Zentrum Inntal,Sportwagen Zentrum Inntal GmbH,Breiteicher Straße 28,83064,Raubling/Pfraundorf,08035/9036-0
Porsche Zentrum Ingolstadt,H. u. W. Sportwagen GmbH,Manchinger Straße 106,85053,Ingolstadt,0841/993689-0
Porsche Zentrum Niederbayern/Plattling,AVP Sportwagen GmbH,Dr.-Wandinger-Straße 5,94447,Plattling,09931/709-700
Porsche Zentrum Landshut,AVP Sportwagen GmbH Landshut,Albert-Einstein-Straße 1,84030,Ergolding,0871/430750-0
Porsche Zentrum Bayreuth,Auto-Scholz Sportwagen GmbH,Wolfsbacher Straße 6,95448,Bayreuth,09209/91407-0
Porsche Zentrum 5 Seen,Hörmann Sportwagen GmbH,Am Römerstein 53,82205,Gilching-Argelsried,08105/3766-0
Porsche Zentrum Altötting,AVP Sportwagen GmbH Altötting,Schneibsteinstraße 1,84503,Altötting,08671/5008-0
Porsche Zentrum Olympiapark,SZM Sportwagen Zentrum München GmbH,Triebstraße 37,80993,München,089/159399-0
Porsche Zentrum München Süd,SZM Sportwagen Zentrum München GmbH,Drygalski-Allee 29,81477,München,089/660087-0
